excluded,baseline_gap,moderate_gap,widening_pp
Barito Kuala,19.937257916659476,21.036605069892417,1.0993471532329409
Kotabaru,7.157148074127534,10.079543426152512,2.922395352024978
Banjar,20.4542321937073,22.292509889970276,1.8382776962629777
Tanah Laut,19.603268161199523,22.530173520991852,2.926905359792329
Tapin,18.455485862902577,21.085300854059327,2.629814991156749
Tabalong,17.76654713667257,20.518897678368276,2.752350541695705
Tanah Bumbu,20.28036031673119,22.724443481221726,2.444083164490536
Hulu Sungai Utara,17.91823592403631,20.247828829607784,2.3295929055714737
Hulu Sungai Tengah,16.306630957281513,18.74995519891317,2.4433242416316574
Kota Banjarbaru,15.709832516866229,18.02095230059274,2.311119783726511
Hulu Sungai Selatan,18.04461360145264,20.57506571122785,2.5304521097752115
Balangan,18.512329525041054,20.85763875179545,2.345309226754395
Kota Banjarmasin,12.660318187656443,14.841311772785033,2.18099358512859
