kabupaten,dokter_spesialis,dokter_umum,dokter_gigi,dokter_gigi_spesialis,perawat,bidan,clinical_staff,bps_2022_pop,population_2020,clinical_staff_per_10k,capacity_class,staff_per_10k_bps2022,capacity_class_bps2022
Tanah Laut,34,80,29,1,651,483,1248,361044,396134.53125,31.504448654398896,underserved,34.56642403695948,underserved
Kotabaru,19,65,16,1,494,419,997,334158,400543.40625,24.89118493633922,underserved,29.83618527762316,underserved
Banjar,65,116,37,4,1119,654,1954,579910,648102.8125,30.149537423894454,underserved,33.69488368884827,underserved
Barito Kuala,17,54,15,0,355,390,816,321769,331247.75,24.634129590314195,underserved,25.35980781243687,underserved
Tapin,22,32,16,0,412,298,764,194628,231151.375,33.051934041058594,underserved,39.25437244384158,well-served
Hulu Sungai Selatan,47,81,18,2,629,330,1087,232212,232556.515625,46.74132638591816,well-served,46.81067300570168,well-served
Hulu Sungai Tengah,22,43,20,0,630,382,1077,263061,262395.25,41.04495031826986,well-served,40.94107450363224,well-served
Hulu Sungai Utara,18,40,12,0,445,354,857,231290,209030.5625,40.99878935167675,well-served,37.05305028319426,underserved
Tabalong,26,90,20,2,545,297,958,261353,276634.53125,34.630528432990054,underserved,36.65540475908063,underserved
Tanah Bumbu,31,108,23,0,676,720,1535,335079,387199.96875,39.64359824086375,well-served,45.810092545340055,well-served
Balangan,13,37,12,0,306,308,664,134512,141471.625,46.935206971716056,well-served,49.36362555013679,well-served
Kota Banjarmasin,402,498,235,30,2371,601,3872,667489,689750.0,56.13628126132657,well-served,58.00844658114216,well-served
Kota Banjarbaru,45,136,38,4,749,317,1247,265575,286467.40625,43.53025764165797,well-served,46.95472088863786,well-served
