kabupaten,dokter_spesialis,dokter_umum,dokter_gigi,dokter_gigi_spesialis,perawat,bidan
Tanah Laut,34,80,29,1,651,483
Kotabaru,19,65,16,1,494,419
Banjar,65,116,37,4,1119,654
Barito Kuala,17,54,15,0,355,390
Tapin,22,32,16,0,412,298
Hulu Sungai Selatan,47,81,18,2,629,330
Hulu Sungai Tengah,22,43,20,0,630,382
Hulu Sungai Utara,18,40,12,0,445,354
Tabalong,26,90,20,2,545,297
Tanah Bumbu,31,108,23,0,676,720
Balangan,13,37,12,0,306,308
Kota Banjarmasin,402,498,235,30,2371,601
Kota Banjarbaru,45,136,38,4,749,317
